[rtvr] [info] [09:37:51] [thread 4912] Framebuffer is complete
[rtvr] [info] [09:37:51] [thread 4912] Framebuffer is complete
[rtvr] [info] [09:37:51] [thread 4912] Framebuffer is complete
[rtvr] [info] [09:37:53] [thread 4912] Framebuffer is complete
[rtvr] [info] [09:37:56] [thread 4912] Framebuffer is complete
[rtvr] [info] [09:37:59] [thread 4912] Framebuffer is complete
[rtvr] [error] [10:43:07] [thread 34767] Error: Cannot open "shaders/blur_compute_x.glsl"
[rtvr] [info] [10:43:32] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:32] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:32] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:50] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:50] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:51] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:52] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:53] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
[rtvr] [info] [10:43:54] [thread 34952] Framebuffer is complete (782x535)
